# Experiment File Name : Plate7.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-06-18 10:59:25 AM
# Instrument Type : QuantStudio 1 System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"Plate7.eds","","A1","Unknown","AA_0077","0.293","-0.009","false","1.0","170147.28",
"Plate7.eds","","A1","Unknown","AA_0077","0.295","-0.006","false","2.0","170164.14",
"Plate7.eds","","A1","Unknown","AA_0077","0.296","-0.006","false","3.0","170917.81",
"Plate7.eds","","A1","Unknown","AA_0077","0.301","-0.001","false","4.0","171035.81",
"Plate7.eds","","A1","Unknown","AA_0077","0.299","-0.003","false","5.0","171007.4",
"Plate7.eds","","A1","Unknown","AA_0077","0.298","-0.004","false","6.0","171159.28",
"Plate7.eds","","A1","Unknown","AA_0077","0.302","0.0","false","7.0","170925.81",
"Plate7.eds","","A1","Unknown","AA_0077","0.304","0.002","false","8.0","170605.33",
"Plate7.eds","","A1","Unknown","AA_0077","0.307","0.005","false","9.0","170549.5",
"Plate7.eds","","A1","Unknown","AA_0077","0.307","0.005","false","10.0","170926.34",
"Plate7.eds","","A1","Unknown","AA_0077","0.307","0.005","false","11.0","170553.7",
"Plate7.eds","","A1","Unknown","AA_0077","0.302","0.0","false","12.0","170378.02",
"Plate7.eds","","A1","Unknown","AA_0077","0.3","-0.002","false","13.0","170620.53",
"Plate7.eds","","A1","Unknown","AA_0077","0.3","-0.002","false","14.0","170674.66",
"Plate7.eds","","A1","Unknown","AA_0077","0.301","0.0","false","15.0","170521.88",
"Plate7.eds","","A1","Unknown","AA_0077","0.302","0.0","false","16.0","170331.25",
"Plate7.eds","","A1","Unknown","AA_0077","0.303","0.001","false","17.0","170060.4",
"Plate7.eds","","A1","Unknown","AA_0077","0.295","-0.006","false","18.0","169965.56",
"Plate7.eds","","A1","Unknown","AA_0077","0.294","-0.008","false","19.0","170198.38",
"Plate7.eds","","A1","Unknown","AA_0077","0.3","-0.002","false","20.0","170148.78",
"Plate7.eds","","A1","Unknown","AA_0077","0.305","0.004","false","21.0","170054.3",
"Plate7.eds","","A1","Unknown","AA_0077","0.306","0.004","false","22.0","169777.3",
"Plate7.eds","","A1","Unknown","AA_0077","0.306","0.004","false","23.0","169552.56",
"Plate7.eds","","A1","Unknown","AA_0077","0.306","0.005","false","24.0","169267.33",
"Plate7.eds","","A1","Unknown","AA_0077","0.304","0.002","false","25.0","169158.66",
"Plate7.eds","","A1","Unknown","AA_0077","0.302","0.0","false","26.0","169347.83",
"Plate7.eds","","A1","Unknown","AA_0077","0.3","-0.002","false","27.0","169559.27",
