# File Name: Trouble-Shooting.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-10 11:07:18 AM UTC
# Run End Date/Time: 2021-10-10 12:07:55 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-14 09:25:54 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-14 09:26:20 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","220666.9","36584.21","139097.19"
"2","A2","1","189933.83","32058.494","131304.98"
"3","A3","1","159306.67","26898.719","113388.06"
"4","A4","1","18746.172","21053.162","147865.06"
"5","A5","1","-5592.9194","15769.619","124345.2"
"6","A6","1","-12076.119","12190.207","104571.37"
"7","A7","1","4027.9707","19799.809","137866.3"
"8","A8","1","9749.2","20638.06","132700.06"
"9","A9","1","-784.588","16534.059","113295.64"
"10","A10","1","11610.674","572.266","1767.657"
"11","A11","1","13876.024","635.70056","1417.3806"
"12","A12","1","17746.305","346.11252","2903.1313"
"13","B1","1","232824.16","39684.617","152895.5"
"14","B2","1","198717.36","34308.06","131330.84"
"15","B3","1","150665.61","25761.379","107747.86"
"16","B4","1","19416.072","22759.922","161050.02"
"17","B5","1","23694.807","20682.771","132980.53"
"18","B6","1","7039.994","16067.509","112499.84"
"19","B7","1","18900.348","22121.91","133290.6"
"20","B8","1","16464.18","19354.758","126987.31"
"21","B9","1","14651.737","18513.97","123429.164"
"22","B10","1","9185.258","1595.0345","928.70544"
"23","B11","1","11758.81","375.16504","347.775"
"24","B12","1","1637.9846","-931.9781","-239.29721"
"25","C1","1","240304.81","40261.918","156030.86"
"26","C2","1","208375.9","35156.11","136733.95"
"27","C3","1","163563.78","28326.553","112467.77"
"28","C4","1","15119.963","25065.162","170082.94"
"29","C5","1","11585.599","17059.775","116956.414"
"30","C6","1","18310.68","17729.115","116575.484"
"31","C7","1","64161.316","28266.43","146176.08"
"32","C8","1","20638.084","22297.406","123313.48"
"33","C9","1","6836.6787","18862.395","115381.73"
"34","C10","1","10581.625","1281.0453","819.79694"
"35","C11","1","8396.734","470.96603","199.23355"
"36","C12","1","9137.395","613.46606","607.6293"
"37","D1","1","225452.53","39206.707","150428.56"
"38","D2","1","192798.33","33029.04","130808.84"
"39","D3","1","157258.12","27369.865","110648.47"
"40","D4","1","20017.312","24373.36","160943.56"
"41","D5","1","14327.648","20536.166","134682.7"
"42","D6","1","14708.626","15439.069","95386.89"
"43","D7","1","21140.48","24182.734","143736.61"
"44","D8","1","12587.385","20877.18","134420.5"
"45","D9","1","8939.01","17062.139","109239.8"
"46","D10","1","15446.2705","1923.2524","1194.2748"
"47","D11","1","8902.891","1236.8665","1293.7385"
"48","D12","1","6438.835","419.92532","1106.5714"
"49","E1","1","269426.28","43550.125","161026.25"
"50","E2","1","213743.17","34451.36","137856.86"
"51","E3","1","122229.12","21262.172","89244.68"
"52","E4","1","12327.759","22053.566","149163.98"
"53","E5","1","16008.983","19728.246","133097.0"
"54","E6","1","15257.377","16896.836","106135.45"
"55","E7","1","9325.315","22210.014","141309.23"
"56","E8","1","11272.336","18474.775","116962.47"
"57","E9","1","8277.219","18172.547","110821.22"
"58","E10","1","13203.33","2324.543","682.40546"
"59","E11","1","8249.408","1156.3636","2046.9716"
"60","E12","1","7386.031","648.2984","240.04518"
"61","F1","1","253321.86","42739.375","150857.12"
"62","F2","1","207089.7","34134.816","131684.28"
"63","F3","1","150990.34","24192.043","96480.91"
"64","F4","1","10248.344","20960.746","148331.73"
"65","F5","1","16289.482","18258.691","120498.14"
"66","F6","1","28868.918","16292.281","100829.04"
"67","F7","1","7620.1016","23137.455","145539.69"
"68","F8","1","3641.5474","15874.922","103304.77"
"69","F9","1","7363.6343","14987.985","98414.5"
"70","F10","1","6021.752","874.35645","488.2383"
"71","F11","1","15761.509","2195.916","1509.7194"
"72","F12","1","9006.4375","593.92896","338.8496"
"73","G1","1","253563.36","43782.92","160564.14"
"74","G2","1","213876.5","35695.555","136795.72"
"75","G3","1","171458.7","28089.709","111469.305"
"76","G4","1","19465.09","22588.24","152681.7"
"77","G5","1","11887.23","17156.787","117701.42"
"78","G6","1","6527.001","17055.43","118947.13"
"79","G7","1","6463.0913","21753.107","139455.73"
"80","G8","1","12840.439","21847.467","132229.44"
"81","G9","1","11082.383","14196.64","90995.78"
"82","G10","1","24842.725","2702.6868","466.3636"
