# File Name: 4_SC-0949.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-13 01:32:34 PM UTC
# Run End Date/Time: 2021-10-13 02:34:57 PM UTC
# Run Duration: 62 minutes 23 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-13 03:19:57 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-13 03:20:15 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","AA_0948","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"2","A2","false","AA_0948","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"3","A3","false","AA_0948","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"13","B1","false","AA_0949","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"14","B2","false","AA_0949","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"15","B3","false","AA_0949","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"25","C1","false","AA_0862","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"26","C2","false","AA_0862","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"27","C3","false","AA_0862","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"37","D1","false","AA_0887","Unknown","UNKNOWN","FAM","None","No Amp","0.382709542057866","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"38","D2","false","AA_0887","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"39","D3","false","AA_0887","Unknown","UNKNOWN","FAM","None","Amp","0.738799302829169","","","38.544612112459234","0.42948935832103313","38.544612112459234","","true","0.053324084171801456","true","3","36"
"49","E1","false","AA_0889","Unknown","UNKNOWN","FAM","None","Inconclusive","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"50","E2","false","AA_0889","Unknown","UNKNOWN","FAM","None","Amp","0.7661523489195963","","","37.82609195616139","0.8075027673245244","37.82609195616139","","true","0.053324084171801456","true","3","34"
"51","E3","false","AA_0889","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"61","F1","false","AA_0904","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"62","F2","false","AA_0904","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"63","F3","false","AA_0904","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"73","G1","false","AA_0943","Unknown","UNKNOWN","FAM","None","Amp","1.063336226461883","","","35.14853425656115","0.9413136898591433","35.14853425656115","","true","0.053324084171801456","true","3","30"
"74","G2","false","AA_0943","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"75","G3","false","AA_0943","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.053324084171801456","true","3","39"
"85","H1","false","NTC","NTC","NTC","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2","true","3","39"
"86","H2","false","NTC","NTC","NTC","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2","true","3","39"
"87","H3","false","NTC","NTC","NTC","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2","true","3","39"
