# Experiment File Name : Plate 1 noQuench.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-03-09 12:29:30 PM
# Instrument Type : QuantStudio 1 System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.027","-0.008","false","1.0","120384.77",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.031","-0.004","false","2.0","120421.95",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.033","-0.002","false","3.0","120813.44",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.036","0.001","false","4.0","120937.83",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.033","-0.001","false","5.0","121261.11",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.034","-0.001","false","6.0","121364.91",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.037","0.003","false","7.0","121556.81",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.042","0.008","false","8.0","121790.88",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.041","0.006","false","9.0","121740.97",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.031","-0.004","false","10.0","121817.766",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.025","-0.01","false","11.0","122278.32",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.032","-0.003","false","12.0","122300.15",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.033","-0.002","false","13.0","122311.86",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.035","0.0","false","14.0","122212.17",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.036","0.0","false","15.0","122170.984",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.04","0.005","false","16.0","122260.67",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.046","0.01","false","17.0","122685.51",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.062","0.027","false","18.0","122542.55",
"Plate 1 noQuench.eds","","A1","Standard Curve","10_7","1.091","0.056","false","19.0","122481.24",
