# File Name: 4_SC-0949.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-13 01:32:34 PM UTC
# Run End Date/Time: 2021-10-13 02:34:57 PM UTC
# Run Duration: 62 minutes 23 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-13 03:19:57 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-13 03:20:15 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","158610.45","130389.95"
"1","A1","2","158713.83","130722.55"
"1","A1","3","157675.9","131134.42"
"1","A1","4","157854.34","131402.17"
"1","A1","5","159773.86","131641.45"
"1","A1","6","160394.75","131866.31"
"1","A1","7","160567.23","131815.78"
"1","A1","8","161424.23","131875.38"
"1","A1","9","160689.36","132167.77"
"1","A1","10","159553.75","132613.53"
"1","A1","11","159421.25","132512.03"
"1","A1","12","160196.22","132157.56"
"1","A1","13","160528.42","132087.4"
"1","A1","14","161531.83","132548.89"
"1","A1","15","161622.19","132672.98"
"1","A1","16","161357.77","132684.7"
"1","A1","17","160484.73","132470.53"
"1","A1","18","160255.97","132277.95"
"1","A1","19","160657.69","132193.53"
"1","A1","20","160703.11","132279.58"
"1","A1","21","160948.9","132613.45"
"1","A1","22","160897.52","132576.98"
"1","A1","23","161016.98","132450.66"
"1","A1","24","161277.94","132600.95"
"1","A1","25","161339.25","132900.81"
"1","A1","26","161019.72","132997.73"
"1","A1","27","160937.08","132926.88"
"1","A1","28","161451.95","132833.83"
"1","A1","29","161468.44","132610.58"
"1","A1","30","161540.94","132496.7"
"1","A1","31","161495.11","132704.08"
"1","A1","32","161732.31","132664.39"
"1","A1","33","161522.92","132595.69"
"1","A1","34","161377.14","132558.72"
"1","A1","35","161716.92","132362.94"
"1","A1","36","161909.31","132197.6"
"1","A1","37","161618.33","132150.44"
"1","A1","38","161392.53","132057.14"
"1","A1","39","161442.5","132100.7"
"1","A1","40","161583.02","132001.55"
"2","A2","1","148243.05","131799.81"
"2","A2","2","149083.11","132035.0"
"2","A2","3","149682.64","132800.33"
"2","A2","4","150827.28","132994.3"
"2","A2","5","150733.08","133422.1"
"2","A2","6","150625.7","133400.28"
"2","A2","7","151466.89","133400.84"
"2","A2","8","152716.62","133846.08"
"2","A2","9","152368.81","133871.9"
"2","A2","10","151925.95","133877.11"
"2","A2","11","151421.33","133888.92"
"2","A2","12","151231.0","133968.14"
"2","A2","13","151607.31","133898.97"
"2","A2","14","151972.55","133805.95"
"2","A2","15","151897.48","133944.78"
"2","A2","16","151949.25","133900.39"
"2","A2","17","151909.84","133981.95"
"2","A2","18","152009.19","133913.73"
"2","A2","19","152184.53","133965.72"
"2","A2","20","151981.55","133946.11"
"2","A2","21","151879.39","134096.53"
"2","A2","22","152343.22","133981.4"
"2","A2","23","152316.23","133843.56"
"2","A2","24","152138.9","133878.58"
"2","A2","25","152148.34","133759.36"
"2","A2","26","151711.97","133727.45"
"2","A2","27","151574.97","133922.61"
"2","A2","28","152078.52","133745.73"
"2","A2","29","152236.98","133365.08"
"2","A2","30","152949.31","133275.53"
