"","Latitude","Longitude"
"1",51.8625,13.4639
"2",52.0172,14.1442
"3",52.0311,13.0819
"4",52.0439,14.2697
"5",52.0747,14.1808
"6",52.0753,14.2272
"7",52.0892,14.1736
"8",52.2125,14.0922
"9",52.2156,13.5883
"10",52.2225,13.6025
"11",52.2428,13.8675
"12",52.2453,13.7075
"13",52.2578,13.705
"14",52.2694,13.8339
"15",52.3744,13.7772
"16",52.3975,14.0678
"17",52.4019,14.0672
"18",52.4978,13.6761
"19",52.5028,13.9289
"20",52.6053,13.8756
"21",52.6081,14.0839
"22",52.6792,14.0503
"23",52.7,14.0828
"24",52.7369,13.66
"25",52.7383,14.0953
"26",52.7667,14.0817
"27",52.7714,13.9578
"28",52.7914,14.1161
"29",52.7947,12.7797
"30",52.8328,14.0908
"31",52.8789,12.9189
"32",52.8969,13.5353
"33",52.91,13.3064
"34",52.9328,13.9106
"35",52.9574,13.2829
"36",52.9581,13.895
"37",52.9722,13.2761
"38",52.9783,13.7336
"39",52.9789,13.7325
"40",52.9794,13.7328
"41",52.9936,13.3047
"42",53.02,14.0358
"43",53.0317,14.1147
"44",53.0497,13.4408
"45",53.0706,14.0939
"46",53.0783,14.1414
"47",53.0897,14.1267
"48",53.0989,13.9631
"49",53.1153,13.4781
"50",53.1247,13.4589
"51",53.1275,13.4864
"52",53.1422,13.9533
"53",53.1439,14.1125
"54",53.9403,11.6072
