# Experiment File Name : Plate 3 NQ.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-03-14 11:22:26 AM
# Instrument Type : QuantStudio 1 System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit","Custom_1",
"A1","10_7","Standard Curve","1.371","Amp","STANDARD","22.127","22.177","0.044","1.0E7","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","17.0","false","",
"A2","10_7","Standard Curve","1.375","Amp","STANDARD","22.198","22.177","0.044","1.0E7","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","16.0","false","",
"A3","10_7","Standard Curve","1.379","Amp","STANDARD","22.206","22.177","0.044","1.0E7","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","15.0","false","",
"A4","AA_0794","Unknown","1.448","Amp","UNKNOWN","30.970","31.168","0.373","-","-","-","-","-","-","-","true","0.127","true","3.0","26.0","false","",
"A5","AA_0794","Unknown","1.454","Amp","UNKNOWN","30.934","31.168","0.373","-","-","-","-","-","-","-","true","0.127","true","3.0","26.0","false","",
"A6","AA_0794","Unknown","1.452","Amp","UNKNOWN","31.598","31.168","0.373","-","-","-","-","-","-","-","true","0.127","true","3.0","27.0","false","",
"A7","AA_0757","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"A8","AA_0757","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"A9","AA_0757","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"A10","AA_0747","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"A11","AA_0747","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"A12","AA_0747","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"B1","10_6","Standard Curve","1.515","Amp","STANDARD","22.100","22.215","0.125","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","17.0","false","",
"B2","10_6","Standard Curve","1.506","Amp","STANDARD","22.198","22.215","0.125","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","17.0","false","",
"B3","10_6","Standard Curve","1.503","Amp","STANDARD","22.348","22.215","0.125","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","18.0","false","",
"B4","AA_0811","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"B5","AA_0811","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"B6","AA_0811","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"B7","AA_0714","Unknown","1.129","Inconclusive","UNKNOWN","36.850","37.109","0.366","-","-","-","-","-","-","-","true","0.127","true","3.0","32.0","false","",
"B8","AA_0714","Unknown","0.0","No Amp","UNKNOWN","Undetermined","37.109","0.366","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"B9","AA_0714","Unknown","1.062","Inconclusive","UNKNOWN","37.368","37.109","0.366","-","-","-","-","-","-","-","true","0.127","true","3.0","32.0","false","",
"B10","AA_0729","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"B11","AA_0729","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"B12","AA_0729","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"C1","10_5","Standard Curve","1.507","Amp","STANDARD","23.224","23.341","0.104","100000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","17.0","false","",
"C2","10_5","Standard Curve","1.5","Amp","STANDARD","23.422","23.341","0.104","100000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","18.0","false","",
"C3","10_5","Standard Curve","1.502","Amp","STANDARD","23.378","23.341","0.104","100000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","17.0","false","",
"C4","AA_0799","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"C5","AA_0799","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"C6","AA_0799","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"C7","AA_0852","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"C8","AA_0852","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"C9","AA_0852","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"C10","AA_0711","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"C11","AA_0711","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"C12","AA_0711","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"D1","10_4","Standard Curve","1.5","Amp","STANDARD","23.843","23.948","0.092","10000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","19.0","false","",
"D2","10_4","Standard Curve","1.486","Amp","STANDARD","23.989","23.948","0.092","10000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","18.0","false","",
"D3","10_4","Standard Curve","1.483","Amp","STANDARD","24.014","23.948","0.092","10000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","19.0","false","",
"D4","AA_0793","Unknown","1.381","Amp","UNKNOWN","29.865","29.449","0.435","-","-","-","-","-","-","-","true","0.127","true","3.0","25.0","false","",
"D5","AA_0793","Unknown","1.394","Amp","UNKNOWN","28.998","29.449","0.435","-","-","-","-","-","-","-","true","0.127","true","3.0","25.0","false","",
"D6","AA_0793","Unknown","1.378","Amp","UNKNOWN","29.485","29.449","0.435","-","-","-","-","-","-","-","true","0.127","true","3.0","26.0","false","",
"D7","AA_0855","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"D8","AA_0855","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"D9","AA_0855","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"D10","AA_0763","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"D11","AA_0763","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"D12","AA_0763","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"E1","10_3","Standard Curve","1.493","Amp","STANDARD","24.847","25.026","0.169","1000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","20.0","false","",
"E2","10_3","Standard Curve","1.459","Amp","STANDARD","25.050","25.026","0.169","1000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","19.0","false","",
"E3","10_3","Standard Curve","1.444","Amp","STANDARD","25.182","25.026","0.169","1000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","20.0","false","",
"E4","AA_0837","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"E5","AA_0837","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"E6","AA_0837","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"E7","AA_0849","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"E8","AA_0849","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"E9","AA_0849","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"E10","AA_0727","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"E11","AA_0727","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"E12","AA_0727","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"F1","10_2","Standard Curve","1.484","Amp","STANDARD","26.339","26.364","0.03","100.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","19.0","false","",
"F2","10_2","Standard Curve","1.472","Amp","STANDARD","26.397","26.364","0.03","100.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","21.0","false","",
"F3","10_2","Standard Curve","1.467","Amp","STANDARD","26.355","26.364","0.03","100.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","21.0","false","",
"F4","AA_0734","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"F7","AA_0738","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"F8","AA_0738","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"F9","AA_0738","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"F10","AA_0724","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"F11","AA_0724","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"F12","AA_0724","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"G1","10_1","Standard Curve","1.025","No Amp","STANDARD","39.337","36.425","2.524","10.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","31.0","false","",
"G2","10_1","Standard Curve","1.066","No Amp","STANDARD","34.883","36.425","2.524","10.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","27.0","false","",
"G3","10_1","Standard Curve","1.076","No Amp","STANDARD","35.054","36.425","2.524","10.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.29","true","3.0","28.0","false","",
"G4","AA_0856","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"G7","AA_0857","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"G8","AA_0857","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"G9","AA_0857","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"G10","AA_0760","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"G11","AA_0760","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"G12","AA_0760","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"H1","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H2","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H3","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H4","AA_0742","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"H7","AA_0780","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"H8","AA_0780","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"H9","AA_0780","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"H10","AA_0723","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"H11","AA_0723","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",
"H12","AA_0723","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.127","true","3.0","39.0","false","",

