# Experiment File Name : Plate_6.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-06-01 11:47:58 AM
# Instrument Type : QuantStudio 1 System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.084","0.0","true","1.0","173596.6",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.084","0.0","true","2.0","173566.56",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.087","0.0","true","3.0","173759.25",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.087","0.0","true","4.0","173742.97",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.087","0.0","true","5.0","173843.14",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.087","0.0","true","6.0","173766.19",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.087","0.0","true","7.0","173713.84",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.087","0.0","true","8.0","173594.58",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.087","0.0","true","9.0","173511.66",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.088","0.0","true","10.0","173312.19",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.09","0.0","true","11.0","172919.16",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.088","0.0","true","12.0","172856.44",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.089","0.0","true","13.0","173278.66",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.093","0.0","true","14.0","173459.2",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.092","0.0","true","15.0","173491.62",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.09","0.0","true","16.0","173297.03",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.089","0.0","true","17.0","172802.03",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.091","0.0","true","18.0","172700.28",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.096","0.0","true","19.0","172960.39",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.093","0.0","true","20.0","172737.8",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.088","0.0","true","21.0","172624.42",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.087","0.0","true","22.0","172800.03",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.092","0.0","true","23.0","173042.39",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.094","0.0","true","24.0","172985.47",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.096","0.0","true","25.0","172761.89",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.096","0.0","true","26.0","172262.69",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.093","0.0","true","27.0","172071.03",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.093","0.0","true","28.0","171970.58",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.098","0.0","true","29.0","171967.05",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.107","0.0","true","30.0","172136.61",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.112","0.0","true","31.0","172215.31",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.118","0.0","true","32.0","172420.4",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.134","0.0","true","33.0","172042.52",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.15","0.0","true","34.0","171924.94",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.156","0.0","true","35.0","171969.61",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.163","0.0","true","36.0","171824.64",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.167","0.0","true","37.0","171814.4",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.172","0.0","true","38.0","171952.12",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.18","0.0","true","39.0","171983.81",
"Plate_6.eds","","A1","Standard Curve","1x10_6 tyz","0.183","0.0","true","40.0","171950.28",
"Plate_6.eds","","A2","Standard Curve","1x10_6 tyz","0.033","0.0","true","1.0","176646.9",
"Plate_6.eds","","A2","Standard Curve","1x10_6 tyz","0.036","0.0","true","2.0","176713.16",
"Plate_6.eds","","A2","Standard Curve","1x10_6 tyz","0.038","0.0","true","3.0","177731.88",
"Plate_6.eds","","A2","Standard Curve","1x10_6 tyz","0.041","0.0","true","4.0","177829.2",
"Plate_6.eds","","A2","Standard Curve","1x10_6 tyz","0.042","0.0","true","5.0","177703.08",
"Plate_6.eds","","A2","Standard Curve","1x10_6 tyz","0.043","0.0","true","6.0","177743.73",
"Plate_6.eds","","A2","Standard Curve","1x10_6 tyz","0.046","0.0","true","7.0","177748.88",
"Plate_6.eds","","A2","Standard Curve","1x10_6 tyz","0.05","0.0","true","8.0","177974.25",
"Plate_6.eds","","A2","Standard Curve","1x10_6 tyz","0.05","0.0","true","9.0","177498.39",
"Plate_6.eds","","A2","Standard Curve","1x10_6 tyz","0.053","0.0","true","10.0","177317.38",
