# Experiment File Name : Plate_4.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-05-27 02:26:32 PM
# Instrument Type : QuantStudio 1 System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit","Custom_1",
"A1","1x10_6 tyz","Standard Curve","1.422","Amp","STANDARD","22.180","22.198","0.029","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","16.0","false","",
"A2","1x10_6 tyz","Standard Curve","1.427","Amp","STANDARD","22.182","22.198","0.029","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","16.0","false","",
"A3","1x10_6 tyz","Standard Curve","1.431","Amp","STANDARD","22.231","22.198","0.029","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","17.0","false","",
"A4","AA_0773","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"A5","AA_0773","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"A6","AA_0773","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"A7","AA_0717","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"A8","AA_0717","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"A9","AA_0717","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"A10","AA_0786","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"A11","AA_0786","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"A12","AA_0786","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"B1","1.25x10_5 tyz","Standard Curve","1.422","Amp","STANDARD","25.510","25.406","0.124","125000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","21.0","false","",
"B2","1.25x10_5 tyz","Standard Curve","1.423","Amp","STANDARD","25.269","25.406","0.124","125000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","19.0","false","",
"B3","1.25x10_5 tyz","Standard Curve","1.424","Amp","STANDARD","25.440","25.406","0.124","125000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","19.0","false","",
"B4","AA_0801 I","Unknown","1.284","Amp","UNKNOWN","33.528","33.588","0.688","-","-","-","-","-","-","-","true","0.04","true","3.0","31.0","false","",
"B5","AA_0801 I","Unknown","1.337","Amp","UNKNOWN","32.932","33.588","0.688","-","-","-","-","-","-","-","true","0.04","true","3.0","30.0","false","",
"B6","AA_0801 I","Unknown","1.241","Amp","UNKNOWN","34.305","33.588","0.688","-","-","-","-","-","-","-","true","0.04","true","3.0","31.0","false","",
"B7","AA_0848","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"B8","AA_0848","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"B9","AA_0848","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"B10","AA_0784","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"B11","AA_0784","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"B12","AA_0784","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
"C1","1.56x10_4 tyz","Standard Curve","1.422","Amp","STANDARD","28.281","28.416","0.117","15625.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","22.0","false","",
"C2","1.56x10_4 tyz","Standard Curve","1.419","Amp","STANDARD","28.493","28.416","0.117","15625.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","23.0","false","",
"C3","1.56x10_4 tyz","Standard Curve","1.433","Amp","STANDARD","28.473","28.416","0.117","15625.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.209","true","3.0","22.0","false","",
"C4","AA_0771","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.04","true","3.0","39.0","false","",
