# Experiment File Name : Plate 1 noQuench.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-03-09 12:29:30 PM
# Instrument Type : QuantStudio 1 System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit","Custom_1",
"A1","10_7","Standard Curve","1.425","Amp","STANDARD","22.122","22.156","0.049","1.0E7","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","16.0","false","",
"A2","10_7","Standard Curve","1.444","Amp","STANDARD","22.134","22.156","0.049","1.0E7","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","16.0","false","",
"A3","10_7","Standard Curve","1.434","Amp","STANDARD","22.212","22.156","0.049","1.0E7","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","15.0","false","",
"A4","AA_0695","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"A5","AA_0695","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"A6","AA_0695","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"A7","AA_0853","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"A8","AA_0853","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"A9","AA_0853","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"A10","AA_0769","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"A11","AA_0769","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"A12","AA_0769","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"B1","10_6","Standard Curve","1.432","Amp","STANDARD","23.312","23.326","0.03","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","17.0","false","",
"B2","10_6","Standard Curve","1.423","Amp","STANDARD","23.361","23.326","0.03","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","17.0","false","",
"B3","10_6","Standard Curve","1.437","Amp","STANDARD","23.306","23.326","0.03","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","17.0","false","",
"B4","AA_0847","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"B5","AA_0847","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"B6","AA_0847","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"B7","AA_0686","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"B8","AA_0686","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"B9","AA_0686","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"B10","AA_0805","Unknown","1.479","Amp","UNKNOWN","29.756","29.697","0.073","-","-","-","-","-","-","-","true","0.269","true","3.0","24.0","false","",
"B11","AA_0805","Unknown","1.46","Amp","UNKNOWN","29.616","29.697","0.073","-","-","-","-","-","-","-","true","0.269","true","3.0","24.0","false","",
"B12","AA_0805","Unknown","1.485","Amp","UNKNOWN","29.719","29.697","0.073","-","-","-","-","-","-","-","true","0.269","true","3.0","23.0","false","",
"C1","10_5","Standard Curve","1.427","Amp","STANDARD","24.126","24.198","0.063","100000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","16.0","false","",
"C2","10_5","Standard Curve","1.442","Amp","STANDARD","24.247","24.198","0.063","100000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","18.0","false","",
"C3","10_5","Standard Curve","1.443","Amp","STANDARD","24.219","24.198","0.063","100000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","19.0","false","",
"C4","AA_0700","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"C5","AA_0700","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"C6","AA_0700","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"C7","AA_0808","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"C8","AA_0808","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"C9","AA_0808","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"C10","AA_0725","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"C11","AA_0725","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"C12","AA_0725","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"D1","10_4","Standard Curve","1.41","Amp","STANDARD","25.367","25.296","0.062","10000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","19.0","false","",
"D2","10_4","Standard Curve","1.416","Amp","STANDARD","25.261","25.296","0.062","10000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","18.0","false","",
"D3","10_4","Standard Curve","1.434","Amp","STANDARD","25.259","25.296","0.062","10000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","19.0","false","",
"D4","AA_0759","Unknown","1.418","Amp","UNKNOWN","30.773","30.713","0.055","-","-","-","-","-","-","-","true","0.269","true","3.0","25.0","false","",
"D5","AA_0759","Unknown","1.423","Amp","UNKNOWN","30.702","30.713","0.055","-","-","-","-","-","-","-","true","0.269","true","3.0","25.0","false","",
"D6","AA_0759","Unknown","1.409","Amp","UNKNOWN","30.664","30.713","0.055","-","-","-","-","-","-","-","true","0.269","true","3.0","25.0","false","",
"D7","AA_0715","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"D8","AA_0715","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"D9","AA_0715","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"D10","AA_0687","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"D11","AA_0687","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"D12","AA_0687","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"E1","10_3","Standard Curve","1.434","Amp","STANDARD","26.352","26.326","0.025","1000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","21.0","false","",
"E2","10_3","Standard Curve","1.439","Amp","STANDARD","26.302","26.326","0.025","1000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","20.0","false","",
"E3","10_3","Standard Curve","1.433","Amp","STANDARD","26.323","26.326","0.025","1000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","20.0","false","",
"E4","AA_0770","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"E5","AA_0770","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"E6","AA_0770","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"E7","AA_0741","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"E8","AA_0741","Unknown","0.766","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","36.0","false","",
"E9","AA_0741","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"E10","AA_0789","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"E11","AA_0789","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"E12","AA_0789","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"F1","10_2","Standard Curve","1.438","Amp","STANDARD","27.363","27.366","0.032","100.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","22.0","false","",
"F2","10_2","Standard Curve","1.443","Amp","STANDARD","27.400","27.366","0.032","100.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","22.0","false","",
"F3","10_2","Standard Curve","1.442","Amp","STANDARD","27.336","27.366","0.032","100.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","21.0","false","",
"F4","AA_0682","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"F5","AA_0682","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"F6","AA_0682","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"F7","AA_0722","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"F8","AA_0722","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"F9","AA_0722","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"F10","AA_0690","Unknown","1.465","Amp","UNKNOWN","31.308","31.133","0.176","-","-","-","-","-","-","-","true","0.269","true","3.0","26.0","false","",
"F11","AA_0690","Unknown","1.47","Amp","UNKNOWN","30.957","31.133","0.176","-","-","-","-","-","-","-","true","0.269","true","3.0","25.0","false","",
"F12","AA_0690","Unknown","1.471","Amp","UNKNOWN","31.135","31.133","0.176","-","-","-","-","-","-","-","true","0.269","true","3.0","26.0","false","",
"G1","10_1","Standard Curve","1.432","Amp","STANDARD","28.348","28.321","0.024","10.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","21.0","false","",
"G2","10_1","Standard Curve","1.442","Amp","STANDARD","28.312","28.321","0.024","10.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","23.0","false","",
"G3","10_1","Standard Curve","1.441","Amp","STANDARD","28.303","28.321","0.024","10.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.341","true","3.0","21.0","false","",
"G4","AA_0689","Unknown","1.436","Amp","UNKNOWN","29.152","29.193","0.038","-","-","-","-","-","-","-","true","0.269","true","3.0","23.0","false","",
"G5","AA_0689","Unknown","1.432","Amp","UNKNOWN","29.201","29.193","0.038","-","-","-","-","-","-","-","true","0.269","true","3.0","23.0","false","",
"G6","AA_0689","Unknown","1.431","Amp","UNKNOWN","29.226","29.193","0.038","-","-","-","-","-","-","-","true","0.269","true","3.0","23.0","false","",
"G7","AA_0791","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"G8","AA_0791","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"G9","AA_0791","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"G10","AA_0681","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"G11","AA_0681","Unknown","0.553","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"G12","AA_0681","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"H1","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H2","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H3","NTC","NTC","0.0","No Amp","NTC","Undetermined","-","-","-","-","-","-","-","-","-","true","0.2","true","3.0","39.0","false","",
"H4","AA_0772","Unknown","0.0","No Amp","UNKNOWN","Undetermined","38.0","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"H5","AA_0772","Unknown","1.153","Amp","UNKNOWN","38.000","38.0","-","-","-","-","-","-","-","-","true","0.269","true","3.0","32.0","false","",
"H6","AA_0772","Unknown","0.0","No Amp","UNKNOWN","Undetermined","38.0","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"H7","AA_0846","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"H8","AA_0846","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"H9","AA_0846","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"H10","AA_0745","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"H11","AA_0745","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",
"H12","AA_0745","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.269","true","3.0","39.0","false","",

