# File Name: 4_SC-0949.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-13 01:32:34 PM UTC
# Run End Date/Time: 2021-10-13 02:34:57 PM UTC
# Run Duration: 62 minutes 23 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-13 03:19:57 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-13 03:20:15 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","165286.5","29685.889","129817.336"
"2","A2","1","154297.22","27992.055","131352.33"
"3","A3","1","147548.92","27966.102","125315.805"
"4","A4","1","107125.664","18858.875","86153.1"
"5","A5","1","-8894.832","-1343.133","-1478.2579"
"6","A6","1","-15016.965","-1922.7008","-2308.2139"
"7","A7","1","644.96625","-2004.721","-1292.5186"
"8","A8","1","4308.173","-852.3069","22.018663"
"9","A9","1","1705.6078","-543.03845","-528.6495"
"10","A10","1","15998.702","1215.9863","916.52246"
"11","A11","1","22878.191","792.3364","898.85925"
"12","A12","1","18706.95","446.79504","3288.0344"
"13","B1","1","167466.17","31317.436","136911.33"
"14","B2","1","162875.62","29043.48","129564.3"
"15","B3","1","151412.7","27364.723","125955.55"
"16","B4","1","127864.94","22251.467","100790.27"
"17","B5","1","16702.137","-143.26027","2243.3667"
"18","B6","1","4737.0566","-365.72418","4.880731"
"19","B7","1","19221.184","1066.394","691.1748"
"20","B8","1","12777.881","-442.93488","399.31973"
"21","B9","1","17352.236","376.993","-701.52814"
"22","B10","1","18533.646","1959.6774","826.11945"
"23","B11","1","24527.965","2060.437","477.83255"
"24","B12","1","4478.427","-326.80527","325.80856"
"25","C1","1","192166.02","29798.695","133528.47"
"26","C2","1","165864.77","30459.559","132522.66"
"27","C3","1","168202.11","28888.475","127455.05"
"28","C4","1","139594.33","23933.172","111217.766"
"29","C5","1","13870.953","-496.43747","-530.40497"
"30","C6","1","11643.976","-64.92756","1690.2642"
"31","C7","1","36664.348","2768.3606","1966.3695"
"32","C8","1","14262.978","1907.3438","710.09595"
"33","C9","1","14561.168","1438.8309","600.1324"
"34","C10","1","15586.524","1433.8208","-35.415596"
"35","C11","1","5497.476","-23.192549","-446.91974"
"36","C12","1","19040.006","2236.593","2454.515"
"37","D1","1","162629.08","29739.455","128517.22"
"38","D2","1","153098.92","28368.137","127887.266"
"39","D3","1","156536.31","27690.637","124641.82"
"40","D4","1","144655.6","24716.156","114447.04"
"41","D5","1","8493.813","-86.29168","27.13507"
"42","D6","1","3762.3726","-232.0425","-524.3943"
"43","D7","1","17459.998","1489.6465","120.82581"
"44","D8","1","12669.321","-248.50523","-468.1827"
"45","D9","1","8960.009","-134.72362","124.337204"
"46","D10","1","13771.9375","1487.3649","322.56793"
"47","D11","1","9985.127","980.8168","912.2872"
"48","D12","1","7310.055","99.77615","-103.63948"
"49","E1","1","174555.03","30732.283","139771.94"
"50","E2","1","166097.75","29429.855","132093.31"
"51","E3","1","113936.33","20823.225","100946.81"
"52","E4","1","115684.12","20097.785","93127.72"
"53","E5","1","4682.036","-405.13773","1301.9692"
"54","E6","1","1930.7286","40.97636","212.43094"
"55","E7","1","2730.3757","-96.99546","382.5695"
"56","E8","1","18084.316","827.28723","-344.5252"
"57","E9","1","10620.939","1246.9259","985.1677"
"58","E10","1","7016.374","1815.0117","-208.33156"
"59","E11","1","3595.9963","499.12195","1118.9377"
"60","E12","1","6480.51","1303.4602","-336.5948"
"61","F1","1","172275.02","31884.35","136266.81"
"62","F2","1","164499.05","29417.932","132642.88"
"63","F3","1","142171.45","24001.818","109891.06"
"64","F4","1","126329.36","21603.955","101181.85"
"65","F5","1","3620.5789","187.15666","863.59863"
"66","F6","1","24285.586","1190.113","847.28577"
"67","F7","1","5967.4023","354.91443","144.93748"
"68","F8","1","5733.964","133.22499","358.5338"
"69","F9","1","5922.3667","-181.17583","547.35254"
"70","F10","1","4504.319","70.53753","-751.76306"
"71","F11","1","16342.092","773.2722","854.5641"
"72","F12","1","7505.0986","-132.4618","-939.3504"
"73","G1","1","174235.7","32374.72","143031.66"
"74","G2","1","171462.83","31021.38","137585.88"
"75","G3","1","166028.33","28235.438","124734.31"
"76","G4","1","130427.82","22414.2","99624.81"
"77","G5","1","7028.2153","188.26987","1022.60114"
"78","G6","1","3906.0193","-509.1654","851.76154"
"79","G7","1","4062.3015","176.33693","1147.3584"
"80","G8","1","11050.196","539.9266","-53.82421"
"81","G9","1","11220.732","-185.25378","745.8604"
"82","G10","1","9801.4375","725.85156","-351.05365"
"83","G11","1","7069.045","293.98392","406.95425"
"84","G12","1","6986.5654","-1295.5977","56.825768"
"85","H1","1","174305.2","33110.75","141759.56"
"86","H2","1","145701.45","28293.023","122823.914"
"87","H3","1","96383.26","17587.773","79196.65"
"88","H4","1","4041.6743","-250.94704","-104.2135"
"89","H5","1","4087.029","86.86612","100.89797"
"90","H6","1","4888.029","-950.6573","-184.23674"
"91","H7","1","3892.2297","-695.1448","-283.02823"
"92","H8","1","7379.455","-608.61084","158.88126"
"93","H9","1","1825.9701","-772.4884","29.993042"
"94","H10","1","25784.338","1994.2856","1451.1898"
"95","H11","1","7069.2515","-310.21765","678.59204"
"96","H12","1","23746.9","-2168.4863","-1801.4603"
"1","A1","2","165934.48","30064.553","130735.05"
"2","A2","2","157438.2","28313.36","131845.73"
"3","A3","2","148831.23","27752.037","126634.35"
"4","A4","2","109247.586","19222.146","86591.14"
"5","A5","2","-9979.651","-1635.6354","-1903.297"
"6","A6","2","-14444.869","-2326.6567","-2381.729"
"7","A7","2","-105.732414","-1924.5393","-1169.6869"
"8","A8","2","3089.31","-754.41187","-418.17627"
