# Experiment File Name : Plate 3 NQ.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-03-14 11:22:26 AM
# Instrument Type : QuantStudio 1 System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.809","-0.004","false","1.0","136144.0",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.81","-0.003","false","2.0","136180.22",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.819","0.006","false","3.0","136573.12",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.82","0.007","false","4.0","136784.16",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.817","0.005","false","5.0","137303.4",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.814","0.003","false","6.0","137454.03",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.808","-0.004","false","7.0","137485.28",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.802","-0.009","false","8.0","137598.4",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.802","-0.009","false","9.0","137572.25",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.806","-0.004","false","10.0","137717.77",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.807","-0.003","false","11.0","137780.98",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.805","-0.004","false","12.0","137846.45",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.803","-0.005","false","13.0","138217.17",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.807","-0.001","false","14.0","138261.5",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.81","0.002","false","15.0","138120.1",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.815","0.007","false","16.0","138079.75",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.816","0.009","false","17.0","138303.12",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.825","0.018","false","18.0","138434.58",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.845","0.039","false","19.0","138321.47",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.885","0.08","false","20.0","138067.11",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","0.952","0.147","false","21.0","137955.78",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","1.074","0.269","false","22.0","138150.78",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","1.247","0.443","false","23.0","138267.86",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","1.471","0.667","false","24.0","138355.22",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","1.746","0.942","false","25.0","138292.03",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","2.055","1.252","false","26.0","138294.69",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","2.352","1.549","false","27.0","138470.03",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","2.632","1.829","false","28.0","138364.7",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","2.873","2.071","false","29.0","138295.89",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","3.071","2.269","false","30.0","138578.75",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","3.227","2.426","false","31.0","138550.39",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","3.346","2.545","false","32.0","138633.78",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","3.429","2.629","false","33.0","138728.83",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","3.497","2.697","false","34.0","138335.08",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","3.553","2.753","false","35.0","138080.33",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","3.58","2.781","false","36.0","137943.36",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","3.594","2.795","false","37.0","138059.42",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","3.589","2.79","false","38.0","138479.98",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","3.59","2.793","false","39.0","138463.33",
"Plate 3 NQ.eds","","A1","Standard Curve","10_7","3.6","2.802","false","40.0","138444.5",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.703","0.003","false","1.0","152463.55",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.702","0.0","false","2.0","152845.58",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.7","-0.001","false","3.0","153351.48",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.702","0.0","false","4.0","153898.4",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.705","0.002","false","5.0","154208.81",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.706","0.003","false","6.0","154400.11",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.701","-0.003","false","7.0","154588.84",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.7","-0.004","false","8.0","154793.22",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.705","0.0","false","9.0","154905.97",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.707","0.002","false","10.0","154812.06",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.706","0.001","false","11.0","154901.11",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.707","0.001","false","12.0","155040.06",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.711","0.004","false","13.0","155037.39",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.708","0.0","false","14.0","155391.75",
"Plate 3 NQ.eds","","A2","Standard Curve","10_7","0.705","-0.003","false","15.0","155310.95",
