# Experiment File Name : Plate_6.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-06-01 11:47:58 AM
# Instrument Type : QuantStudio 1 System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit","Custom_1",
"A1","1x10_6 tyz","Standard Curve","-1.0","N/A","STANDARD","Undetermined","-","-","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.046","true","-1.0","-1.0","true","",
"A2","1x10_6 tyz","Standard Curve","-1.0","N/A","STANDARD","Undetermined","-","-","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.046","true","-1.0","-1.0","true","",
"A3","1x10_6 tyz","Standard Curve","-1.0","N/A","STANDARD","Undetermined","-","-","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.046","true","-1.0","-1.0","true","",
"A4","AA_0746 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"A5","AA_0746 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"A6","AA_0746 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"A7","AA_0766 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"A8","AA_0766 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"A9","AA_0766 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"A10","AA_0845 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"A11","AA_0845 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"A12","AA_0845 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"B1","1.25x10_5 tyz","Standard Curve","-1.0","N/A","STANDARD","Undetermined","-","-","125000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.046","true","-1.0","-1.0","true","",
"B2","1.25x10_5 tyz","Standard Curve","-1.0","N/A","STANDARD","Undetermined","-","-","125000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.046","true","-1.0","-1.0","true","",
"B3","1.25x10_5 tyz","Standard Curve","-1.0","N/A","STANDARD","Undetermined","-","-","125000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.046","true","-1.0","-1.0","true","",
"B4","AA_0750 R","Unknown","1.361","Amp","UNKNOWN","32.290","32.289","0.17","-","-","-","-","-","-","-","true","0.093","true","3.0","29.0","false","",
"B5","AA_0750 R","Unknown","1.363","Amp","UNKNOWN","32.119","32.289","0.17","-","-","-","-","-","-","-","true","0.093","true","3.0","28.0","false","",
"B6","AA_0750 R","Unknown","1.353","Amp","UNKNOWN","32.459","32.289","0.17","-","-","-","-","-","-","-","true","0.093","true","3.0","28.0","false","",
"B7","AA_0775 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"B8","AA_0775 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"B9","AA_0775 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"B10","AA_0854 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"B11","AA_0854 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"B12","AA_0854 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.093","true","3.0","39.0","false","",
"C1","1.56x10_4 tyz","Standard Curve","0.99","Amp","STANDARD","27.506","28.749","1.218","15625.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.046","true","3.0","22.0","false","",
"C2","1.56x10_4 tyz","Standard Curve","0.873","Amp","STANDARD","29.939","28.749","1.218","15625.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.046","true","3.0","26.0","false","",
"C3","1.56x10_4 tyz","Standard Curve","0.991","Amp","STANDARD","28.801","28.749","1.218","15625.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.046","true","3.0","26.0","false","",
