,AA_0523,Tyzzeri refSeq,AA_0144,AA_0209,AA_0900
AA_0523,,0.159,0.013,0.016,0.018
Tyzzeri refSeq,0.159,,0.162,0.164,0.167
AA_0144,0.013,0.162,,0.003,0.005
AA_0209,0.016,0.164,0.003,,0.003
AA_0900,0.018,0.167,0.005,0.003,
