# Experiment File Name : Plate7.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-06-18 10:59:25 AM
# Instrument Type : QuantStudio 1 System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit","Custom_1",
"A1","AA_0077","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"A2","AA_0077","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"A3","AA_0077","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"A4","AA_0793","Unknown","1.415","Amp","UNKNOWN","29.368","29.014","0.53","-","-","-","-","-","-","-","true","0.07","true","3.0","26.0","false","",
"A5","AA_0793","Unknown","1.419","Amp","UNKNOWN","29.270","29.014","0.53","-","-","-","-","-","-","-","true","0.07","true","3.0","26.0","false","",
"A6","AA_0793","Unknown","1.427","Amp","UNKNOWN","28.406","29.014","0.53","-","-","-","-","-","-","-","true","0.07","true","3.0","25.0","false","",
"A7","AA_0048","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"A8","AA_0048","Unknown","0.638","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"A9","AA_0048","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"A10","AA_0120","Unknown","0.991","Amp","UNKNOWN","36.032","35.368","0.576","-","-","-","-","-","-","-","true","0.07","true","3.0","32.0","false","",
"A11","AA_0120","Unknown","1.115","Amp","UNKNOWN","35.041","35.368","0.576","-","-","-","-","-","-","-","true","0.07","true","3.0","31.0","false","",
"A12","AA_0120","Unknown","1.184","Amp","UNKNOWN","35.030","35.368","0.576","-","-","-","-","-","-","-","true","0.07","true","3.0","32.0","false","",
"B1","AA_0075","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"B2","AA_0075","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"B3","AA_0075","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"B4","AA_0523","Unknown","1.435","Amp","UNKNOWN","24.575","24.647","0.075","-","-","-","-","-","-","-","true","0.07","true","3.0","21.0","false","",
"B5","AA_0523","Unknown","1.433","Amp","UNKNOWN","24.643","24.647","0.075","-","-","-","-","-","-","-","true","0.07","true","3.0","21.0","false","",
"B6","AA_0523","Unknown","1.432","Amp","UNKNOWN","24.724","24.647","0.075","-","-","-","-","-","-","-","true","0.07","true","3.0","21.0","false","",
"B7","AA_0114","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"B8","AA_0114","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"B9","AA_0114","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"B10","AA_0144","Unknown","1.45","Amp","UNKNOWN","26.952","26.5","0.461","-","-","-","-","-","-","-","true","0.07","true","3.0","24.0","false","",
"B11","AA_0144","Unknown","1.454","Amp","UNKNOWN","26.517","26.5","0.461","-","-","-","-","-","-","-","true","0.07","true","3.0","23.0","false","",
"B12","AA_0144","Unknown","1.465","Amp","UNKNOWN","26.030","26.5","0.461","-","-","-","-","-","-","-","true","0.07","true","3.0","23.0","false","",
"C1","AA_0123","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"C2","AA_0123","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"C3","AA_0123","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"C4","AA_0172","Unknown","1.157","Amp","UNKNOWN","35.562","35.232","0.466","-","-","-","-","-","-","-","true","0.07","true","3.0","31.0","false","",
"C5","AA_0172","Unknown","1.225","Amp","UNKNOWN","34.903","35.232","0.466","-","-","-","-","-","-","-","true","0.07","true","3.0","31.0","false","",
"C6","AA_0172","Unknown","0.0","No Amp","UNKNOWN","Undetermined","35.232","0.466","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"C7","AA_0325","Unknown","1.32","Amp","UNKNOWN","31.949","31.851","0.22","-","-","-","-","-","-","-","true","0.07","true","3.0","28.0","false","",
"C8","AA_0325","Unknown","1.33","Amp","UNKNOWN","32.005","31.851","0.22","-","-","-","-","-","-","-","true","0.07","true","3.0","29.0","false","",
"C9","AA_0325","Unknown","1.327","Amp","UNKNOWN","31.599","31.851","0.22","-","-","-","-","-","-","-","true","0.07","true","3.0","28.0","false","",
"C10","AA_0106","Unknown","1.309","Amp","UNKNOWN","31.009","31.31","0.411","-","-","-","-","-","-","-","true","0.07","true","3.0","28.0","false","",
"C11","AA_0106","Unknown","1.281","Amp","UNKNOWN","31.779","31.31","0.411","-","-","-","-","-","-","-","true","0.07","true","3.0","29.0","false","",
"C12","AA_0106","Unknown","1.309","Amp","UNKNOWN","31.141","31.31","0.411","-","-","-","-","-","-","-","true","0.07","true","3.0","28.0","false","",
"D1","AA_0283","Unknown","1.174","Amp","UNKNOWN","34.479","34.861","0.655","-","-","-","-","-","-","-","true","0.07","true","3.0","30.0","false","",
"D2","AA_0283","Unknown","1.179","Amp","UNKNOWN","34.487","34.861","0.655","-","-","-","-","-","-","-","true","0.07","true","3.0","30.0","false","",
"D3","AA_0283","Unknown","1.093","Amp","UNKNOWN","35.618","34.861","0.655","-","-","-","-","-","-","-","true","0.07","true","3.0","32.0","false","",
"D4","AA_0110","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"D5","AA_0110","Unknown","0.436","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"D6","AA_0110","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"D7","AA_0108","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"D8","AA_0108","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"D9","AA_0108","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"D10","AA_0112","Unknown","0.541","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"D11","AA_0112","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"D12","AA_0112","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"E1","AA_0063","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"E2","AA_0063","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"E3","AA_0063","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"E4","AA_0176","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"E5","AA_0176","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"E6","AA_0176","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"E7","AA_0443","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"E8","AA_0443","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"E9","AA_0443","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"E10","AA_0173","Unknown","0.78","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"E11","AA_0173","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"E12","AA_0173","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"F1","AA_0570","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"F2","AA_0570","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"F3","AA_0570","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"F4","AA_0174","Unknown","1.34","Amp","UNKNOWN","33.237","34.872","1.416","-","-","-","-","-","-","-","true","0.07","true","3.0","29.0","false","",
"F5","AA_0174","Unknown","1.127","Amp","UNKNOWN","35.694","34.872","1.416","-","-","-","-","-","-","-","true","0.07","true","3.0","31.0","false","",
"F6","AA_0174","Unknown","1.134","Amp","UNKNOWN","35.685","34.872","1.416","-","-","-","-","-","-","-","true","0.07","true","3.0","33.0","false","",
"F7","AA_0059","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"F8","AA_0059","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
"F9","AA_0059","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.07","true","3.0","39.0","false","",
