"","Mouse_ID","HI","HI_Level","Year","Date","Plate","Tested_by","Machine","Measurements","Ct_mean_ABI","Ct_1_Ep","Ct_1_Ep_Real_Pred","Ct_1_Ep_Real_Check","Ct_2_Ep","Ct_2_Ep_Real_Pred","Ct_2_Ep_Real_Check","Ct_mean_Ep","Ct_Ep_Consistent","Ct_1_ABI","Ct_2_ABI","Ct_3_ABI","Ct_mean_1_ABI","Ct_4_ABI","Ct_5_ABI","Ct_6_ABI","Ct_mean_2_ABI","Ct_7_ABI","Ct_8_ABI","Ct_9_ABI","Ct_mean_3_ABI","Ct_mean","Consistent","StDev","Transect","Latitude","Longitude","Sex","Oocyst_Predict","Oocyst_Level","Oocyst_Predict.1"
"1","AA_0048",0.72,"HI < 0.75",2016,"18.06.21","7","YVT-Tes","Eppendorf + new ABI",2,0,11.32,FALSE,FALSE,8.71,FALSE,FALSE,10.015,10.015,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,FALSE,5.41,"HZ_BR",52.4978,13.6761,"F","0","OP = 0",4292821751815.77
"2","AA_0049",0.85,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.4978,13.6761,"M","0","OP = 0",4292821751815.77
"3","AA_0050",0.7,"HI < 0.75",2016,"2016","0","YVT","Eppendorf",1,NA,0,TRUE,TRUE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,"HZ_BR",52.4978,13.6761,"M","0","OP = 0",4292821751815.77
"4","AA_0051",0.76,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,8,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4,"HZ_BR",52.5028,13.9289,"F","0","OP = 0",4292821751815.77
"5","AA_0052",0.58,"HI < 0.75",2016,"2016","0","YVT","Eppendorf",1,NA,6.57,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,3.29,"HZ_BR",52.5028,13.9289,"M","0","OP = 0",4292821751815.77
"6","AA_0053",0.64,"HI < 0.75",2016,"2016","0","YVT","Eppendorf",1,NA,35.17,TRUE,TRUE,33.16,TRUE,TRUE,34.16,34.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.16,NA,0.82,"HZ_BR",52.5028,13.9289,"F","385","OP < 10^3",385.456160087542
"7","AA_0054",0.71,"HI < 0.75",2016,"2016","0","YVT","Eppendorf",1,NA,8.96,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.48,"HZ_BR",52.5028,13.9289,"F","0","OP = 0",4292821751815.77
"8","AA_0055",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,8.76,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.38,"HZ_BR",52.91,13.3064,"M","0","OP = 0",4292821751815.77
"9","AA_0056",0.08,"HI < 0.25",2016,"2016","0","YVT","Eppendorf",1,NA,24,FALSE,FALSE,36.79,TRUE,TRUE,30.395,30.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.395,NA,5.46,"HZ_BR",52.91,13.3064,"F","4952","OP < 10^4",4935.09893384604
"10","AA_0057",0,"HI == 0",2016,"2016","0","YVT","Eppendorf",1,NA,8.57,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.29,"HZ_BR",52.91,13.3064,"M","0","OP = 0",4292821751815.77
"11","AA_0058",0.92,"HI < 1",2016,"2016","0","YVT","Eppendorf",1,NA,9.24,FALSE,FALSE,0,TRUE,TRUE,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,4.62,"HZ_BR",52.8431,14.1158,"F","0","OP = 0",4292821751815.77
