# Experiment File Name : Plate_4.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-05-27 02:26:32 PM
# Instrument Type : QuantStudio 1 System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.157","-0.002","false","1.0","133871.92",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.157","-0.002","false","2.0","133952.5",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.154","-0.004","false","3.0","134795.33",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.154","-0.004","false","4.0","134992.03",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.16","0.001","false","5.0","135285.4",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.164","0.006","false","6.0","135397.48",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.166","0.008","false","7.0","135251.92",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.165","0.007","false","8.0","135173.7",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.158","-0.001","false","9.0","135324.0",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.153","-0.005","false","10.0","135165.27",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.152","-0.006","false","11.0","135046.39",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.152","-0.006","false","12.0","135125.6",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.154","-0.004","false","13.0","135103.16",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.162","0.004","false","14.0","134764.38",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.162","0.004","false","15.0","134683.64",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.159","0.001","false","16.0","134971.95",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.166","0.008","false","17.0","135000.39",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.176","0.018","false","18.0","134949.94",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.187","0.029","false","19.0","135023.33",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.209","0.051","false","20.0","135275.97",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.262","0.104","false","21.0","135253.69",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.343","0.185","false","22.0","135135.34",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.485","0.327","false","23.0","135024.48",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.7","0.542","false","24.0","134710.17",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","1.988","0.83","false","25.0","134627.47",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","2.337","1.179","false","26.0","134851.97",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","2.715","1.558","false","27.0","134857.61",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","3.095","1.938","false","28.0","134926.11",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","3.47","2.312","false","29.0","134868.28",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","3.822","2.664","false","30.0","134820.89",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","4.149","2.992","false","31.0","134647.02",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","4.433","3.275","false","32.0","134592.36",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","4.667","3.509","false","33.0","134839.38",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","4.866","3.709","false","34.0","134980.6",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","5.029","3.871","false","35.0","134926.52",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","5.146","3.989","false","36.0","135008.11",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","5.235","4.077","false","37.0","135233.47",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","5.309","4.152","false","38.0","135142.81",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","5.372","4.215","false","39.0","134900.14",
"Plate_4.eds","","A1","Standard Curve","1x10_6 tyz","5.408","4.25","false","40.0","134764.4",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.072","-0.004","false","1.0","140947.08",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.078","0.002","false","2.0","141195.4",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.08","0.003","false","3.0","141882.67",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.079","0.002","false","4.0","142199.8",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.082","0.004","false","5.0","142244.64",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.08","0.001","false","6.0","142585.55",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.077","-0.003","false","7.0","143124.52",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.077","-0.003","false","8.0","143194.67",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.077","-0.004","false","9.0","143262.4",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.077","-0.005","false","10.0","143299.3",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.078","-0.005","false","11.0","143250.5",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.083","0.0","false","12.0","142956.47",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.085","0.001","false","13.0","142812.28",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.089","0.004","false","14.0","142981.83",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.088","0.002","false","15.0","143082.27",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.088","0.002","false","16.0","143058.14",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.09","0.003","false","17.0","142940.05",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.101","0.013","false","18.0","142962.06",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.113","0.024","false","19.0","142959.95",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.136","0.047","false","20.0","142796.52",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.193","0.103","false","21.0","142570.4",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.278","0.187","false","22.0","142539.67",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.42","0.329","false","23.0","143078.06",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.633","0.54","false","24.0","143444.8",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","1.931","0.838","false","25.0","143445.67",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","2.284","1.191","false","26.0","143385.48",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","2.669","1.574","false","27.0","143246.31",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","3.059","1.963","false","28.0","143277.1",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","3.422","2.326","false","29.0","143450.39",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","3.781","2.684","false","30.0","143184.53",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","4.102","3.005","false","31.0","143066.28",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","4.371","3.272","false","32.0","143343.0",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","4.623","3.524","false","33.0","143391.86",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","4.813","3.713","false","34.0","143736.6",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","4.967","3.867","false","35.0","143659.95",
"Plate_4.eds","","A2","Standard Curve","1x10_6 tyz","5.097","3.996","false","36.0","143536.4",
