# Experiment File Name : Plate2_NQ.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-03-09 12:29:31 PM
# Instrument Type : QuantStudio 1 System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit","Custom_1",
"A1","10_7","Standard Curve","1.479","Amp","STANDARD","19.474","19.552","0.07","1.0E7","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","16.0","false","",
"A2","10_7","Standard Curve","1.485","Amp","STANDARD","19.574","19.552","0.07","1.0E7","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","16.0","false","",
"A3","10_7","Standard Curve","1.487","Amp","STANDARD","19.608","19.552","0.07","1.0E7","-","-","42.4147","0.9911","-3.345","99.0461","true","0.075","true","3.0","16.0","false","",
"A4","AA_0804","Unknown","1.449","Amp","UNKNOWN","32.524","32.633","0.196","-","-","-","-","-","-","-","true","0.211","true","3.0","26.0","false","",
"A5","AA_0804","Unknown","1.453","Amp","UNKNOWN","32.516","32.633","0.196","-","-","-","-","-","-","-","true","0.211","true","3.0","27.0","false","",
"A6","AA_0804","Unknown","1.454","Amp","UNKNOWN","32.859","32.633","0.196","-","-","-","-","-","-","-","true","0.211","true","3.0","26.0","false","",
"A7","AA_0740","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"A8","AA_0740","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"A9","AA_0740","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
"A10","AA_0761","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.211","true","3.0","39.0","false","",
