# File Name: Plate 3 NQ.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-10 11:25:49 AM UTC
# Run End Date/Time: 2021-03-10 12:27:38 PM UTC
# Run Duration: 61 minutes 49 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-14 09:34:19 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-14 09:34:53 AM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","119782.266","25912.633","136375.58"
"2","A2","1","115502.22","28446.56","151816.17"
"3","A3","1","109496.74","26599.129","140825.28"
"4","A4","1","142063.14","25659.533","110899.4"
"5","A5","1","125496.766","24690.695","113055.336"
"6","A6","1","123960.63","23920.11","115746.43"
"7","A7","1","213721.55","29979.549","112148.53"
"8","A8","1","230280.27","32152.928","119145.9"
"9","A9","1","206054.25","29416.396","108092.53"
"10","A10","1","34081.91","18442.92","119632.7"
"11","A11","1","45208.02","21431.133","146078.61"
"12","A12","1","49808.465","24580.654","162366.44"
"13","B1","1","230090.05","29768.014","87571.805"
"14","B2","1","260950.55","30434.445","85164.74"
"15","B3","1","275562.53","30965.484","82451.516"
"16","B4","1","196655.16","24222.986","81494.086"
"17","B5","1","203439.52","23719.457","85228.49"
"18","B6","1","188324.05","22968.203","80278.164"
"19","B7","1","187259.94","28072.045","115529.55"
"20","B8","1","170199.53","25235.973","105944.5"
"21","B9","1","190667.36","28566.68","116241.99"
"22","B10","1","85346.64","24048.9","124190.64"
"23","B11","1","70845.39","21153.658","118014.24"
"24","B12","1","56376.516","22658.53","133643.11"
"25","C1","1","185542.2","28817.273","105299.945"
"26","C2","1","188332.52","28342.594","103054.54"
"27","C3","1","208910.56","29457.791","106659.01"
"28","C4","1","193820.7","25027.973","94237.64"
"29","C5","1","175706.27","22924.572","88167.266"
"30","C6","1","195309.7","25293.73","99001.77"
"31","C7","1","206924.11","30268.209","119743.88"
"32","C8","1","164002.77","24643.059","104519.35"
"33","C9","1","171410.34","26738.799","107513.875"
"34","C10","1","50697.92","24700.611","153690.94"
"35","C11","1","35328.41","17325.021","111543.37"
"36","C12","1","35923.207","18301.566","119641.76"
"37","D1","1","240241.03","28722.389","70724.41"
"38","D2","1","229263.95","25933.33","70529.61"
"39","D3","1","228626.61","23922.46","69100.25"
