Document Name: Plate1-03-03 
Plate Type: Absolute Quantification
User: user

Document Information

Operator: user
Run Date: Wednesday, March 03, 2021 14:23:02
Last Modified: Wednesday, March 03, 2021 16:00:20
Instrument Type: Applied Biosystems 7300 Real-Time PCR System

Comments:
SDS v1.3

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,10_7,Crypto_18S_2,Standard,21.24,0.052,,,,,82.20
A2,10_7,Crypto_18S_2,Standard,21.15,0.052,,,,,74.20
A3,10_7,Crypto_18S_2,Standard,21.24,0.052,,,,,73.90
A4,AA 695,Crypto_18S_2,Unknown,Undetermined,,,,,,73.90
A5,AA 695,Crypto_18S_2,Unknown,Undetermined,,,,,,73.70
A6,AA 695,Crypto_18S_2,Unknown,Undetermined,,,,,,74.50
A7,AA 847,Crypto_18S_2,Unknown,Undetermined,,,,,,86.00
A8,AA 847,Crypto_18S_2,Unknown,Undetermined,,,,,,85.40
A9,AA 847,Crypto_18S_2,Unknown,37.33,,,,,,85.70
A10,AA 700,Crypto_18S_2,Unknown,Undetermined,,,,,,85.40
A11,AA 700,Crypto_18S_2,Unknown,36.77,,,,,,86.60
A12,AA 700,Crypto_18S_2,Unknown,Undetermined,,,,,,87.90
B1,10_6,Crypto_18S_2,Standard,22.43,0.445,,,,,88.20
B2,10_6,Crypto_18S_2,Standard,22.33,0.445,,,,,85.70
B3,10_6,Crypto_18S_2,Standard,21.61,0.445,,,,,73.40
B4,AA 759,Crypto_18S_2,Unknown,30.34,0.045,,,,,75.90
B5,AA 759,Crypto_18S_2,Unknown,30.40,0.045,,,,,78.30
B6,AA 759,Crypto_18S_2,Unknown,30.43,0.045,,,,,74.20
B7,AA 770,Crypto_18S_2,Unknown,Undetermined,,,,,,87.90
B8,AA 770,Crypto_18S_2,Unknown,Undetermined,,,,,,88.20
B9,AA 770,Crypto_18S_2,Unknown,Undetermined,,,,,,87.60
B10,AA 682,Crypto_18S_2,Unknown,Undetermined,,,,,,85.40
B11,AA 682,Crypto_18S_2,Unknown,Undetermined,,,,,,86.60
B12,AA 682,Crypto_18S_2,Unknown,Undetermined,,,,,,87.90
C1,10_5,Crypto_18S_2,Standard,23.33,0.105,,,,,87.60
C2,10_5,Crypto_18S_2,Standard,23.52,0.105,,,,,83.50
C3,10_5,Crypto_18S_2,Standard,23.36,0.105,,,,,86.60
C4,AA 689,Crypto_18S_2,Unknown,29.23,0.323,,,,,80.70
C5,AA 689,Crypto_18S_2,Unknown,29.12,0.323,,,,,83.50
C6,AA 689,Crypto_18S_2,Unknown,28.63,0.323,,,,,81.30
C7,AA 772,Crypto_18S_2,Unknown,Undetermined,,,,,,87.90
C8,AA 772,Crypto_18S_2,Unknown,Undetermined,,,,,,88.20
C9,AA 772,Crypto_18S_2,Unknown,Undetermined,,,,,,86.00
C10,AA 853,Crypto_18S_2,Unknown,Undetermined,,,,,,86.90
C11,AA 853,Crypto_18S_2,Unknown,Undetermined,,,,,,88.20
C12,AA 853,Crypto_18S_2,Unknown,Undetermined,,,,,,81.90
D1,10_4,Crypto_18S_2,Standard,24.59,0.028,,,,,81.00
D2,10_4,Crypto_18S_2,Standard,24.54,0.028,,,,,78.10
D3,10_4,Crypto_18S_2,Standard,24.59,0.028,,,,,78.10
D4,AA 686,Crypto_18S_2,Unknown,Undetermined,,,,,,75.10
D5,AA 686,Crypto_18S_2,Unknown,Undetermined,,,,,,75.40
D6,AA 686,Crypto_18S_2,Unknown,Undetermined,,,,,,75.70
D7,AA 808,Crypto_18S_2,Unknown,Undetermined,,,,,,75.10
D8,AA 808,Crypto_18S_2,Unknown,Undetermined,,,,,,86.90
D9,AA 808,Crypto_18S_2,Unknown,Undetermined,,,,,,78.10
D10,AA 715,Crypto_18S_2,Unknown,Undetermined,,,,,,85.70
D11,AA 715,Crypto_18S_2,Unknown,Undetermined,,,,,,87.90
D12,AA 715,Crypto_18S_2,Unknown,Undetermined,,,,,,88.20
E1,10_3,Crypto_18S_2,Standard,25.37,0.040,,,,,77.40
E2,10_3,Crypto_18S_2,Standard,25.30,0.040,,,,,82.20
E3,10_3,Crypto_18S_2,Standard,25.37,0.040,,,,,83.50
E4,AA 741,Crypto_18S_2,Unknown,Undetermined,,,,,,74.80
E5,AA 741,Crypto_18S_2,Unknown,Undetermined,,,,,,74.80
E6,AA 741,Crypto_18S_2,Unknown,Undetermined,,,,,,75.10
E7,AA 722,Crypto_18S_2,Unknown,Undetermined,,,,,,88.20
E8,AA 722,Crypto_18S_2,Unknown,Undetermined,,,,,,75.90
E9,AA 722,Crypto_18S_2,Unknown,Undetermined,,,,,,87.20
E10,AA 791,Crypto_18S_2,Unknown,Undetermined,,,,,,87.20
E11,AA 791,Crypto_18S_2,Unknown,Undetermined,,,,,,85.10
E12,AA 791,Crypto_18S_2,Unknown,Undetermined,,,,,,81.00
F1,10_2,Crypto_18S_2,Standard,26.44,0.112,,,,,72.30
F2,10_2,Crypto_18S_2,Standard,26.67,0.112,,,,,87.60
F3,10_2,Crypto_18S_2,Standard,26.56,0.112,,,,,79.20
F4,AA 846,Crypto_18S_2,Unknown,Undetermined,,,,,,75.40
F5,AA 846,Crypto_18S_2,Unknown,Undetermined,,,,,,75.40
F6,AA 846,Crypto_18S_2,Unknown,Undetermined,,,,,,74.80
F7,AA 769,Crypto_18S_2,Unknown,Undetermined,,,,,,88.20
F8,AA 769,Crypto_18S_2,Unknown,Undetermined,,,,,,86.30
F9,AA 769,Crypto_18S_2,Unknown,Undetermined,,,,,,69.10
F10,AA 805,Crypto_18S_2,Unknown,30.62,0.822,,,,,79.50
F11,AA 805,Crypto_18S_2,Unknown,29.35,0.822,,,,,86.00
F12,AA 805,Crypto_18S_2,Unknown,29.07,0.822,,,,,88.20
G1,10_1,Crypto_18S_2,Standard,28.08,0.293,,,,,84.40
G2,10_1,Crypto_18S_2,Standard,27.55,0.293,,,,,77.20
G3,10_1,Crypto_18S_2,Standard,27.61,0.293,,,,,82.50
G4,AA 725,Crypto_18S_2,Unknown,Undetermined,,,,,,75.40
G5,AA 725,Crypto_18S_2,Unknown,Undetermined,,,,,,75.10
G6,AA 725,Crypto_18S_2,Unknown,Undetermined,,,,,,74.50
G7,AA 687,Crypto_18S_2,Unknown,Undetermined,,,,,,86.60
G8,AA 687,Crypto_18S_2,Unknown,Undetermined,,,,,,88.20
G9,AA 687,Crypto_18S_2,Unknown,Undetermined,,,,,,84.40
G10,AA 789,Crypto_18S_2,Unknown,Undetermined,,,,,,88.20
G11,AA 789,Crypto_18S_2,Unknown,Undetermined,,,,,,77.40
G12,AA 789,Crypto_18S_2,Unknown,Undetermined,,,,,,88.20
H1,NTC,Crypto_18S_2,NTC,Undetermined,,,,,,76.60
H2,NTC,Crypto_18S_2,NTC,Undetermined,,,,,,75.70
H3,NTC,Crypto_18S_2,NTC,Undetermined,,,,,,77.40
H4,AA 690,Crypto_18S_2,Unknown,31.40,0.176,,,,,83.20
H5,AA 690,Crypto_18S_2,Unknown,31.09,0.176,,,,,73.10
H6,AA 690,Crypto_18S_2,Unknown,31.38,0.176,,,,,75.10
H7,AA 681,Crypto_18S_2,Unknown,Undetermined,,,,,,83.20
H8,AA 789,Crypto_18S_2,Unknown,38.17,,,,,,88.20
H9,AA 789,Crypto_18S_2,Unknown,Undetermined,,,,,,86.90
H10,AA 745,Crypto_18S_2,Unknown,Undetermined,,,,,,86.90
H11,AA 745,Crypto_18S_2,Unknown,Undetermined,,,,,,73.90
H12,AA 745,Crypto_18S_2,Unknown,Undetermined,,,,,,75.90
